lat_grid,lon_grid,n_days_detected
32.14,6.48,41
32.14,6.79,58
32.15,6.44,76
32.15,6.79,146
32.16,6.44,388
32.16,6.6,474
32.16,6.85,293
32.17,4.74,120
32.17,4.75,31
32.17,6.45,38
32.17,6.47,31
32.17,6.85,228
32.17,7.06,135
32.17,7.1,17
32.18,4.74,37
32.18,6.43,16
32.18,6.45,19
32.18,6.46,16
32.18,6.47,21
32.18,7.06,62
32.19,6.38,28
32.19,6.39,274
32.21,6.96,17
32.21,6.97,170
32.21,6.98,42
32.23,4.74,25
32.25,4.16,16
32.27,3.98,106
32.27,3.99,357
32.28,3.98,308
32.28,3.99,730
32.29,10.97,164
32.29,10.98,122
32.3,7.06,17
32.3,10.93,24
32.3,10.94,18
32.31,10.95,18
32.32,-6.43,31
32.34,7.0,22
32.35,6.97,350
32.35,6.98,747
32.35,6.99,18
32.35,7.0,22
32.36,-8.49,37
32.36,-8.48,64
32.36,6.97,669
32.36,6.98,1128
32.36,6.99,94
32.37,-8.49,84
32.37,-8.43,70
32.37,-8.42,37
32.38,-8.49,50
32.38,-8.43,17
32.38,6.34,26
32.38,6.71,26
32.39,-8.45,52
32.39,-8.44,101
32.39,7.13,20
32.4,-8.56,31
32.4,4.0,566
32.4,4.01,777
32.4,4.02,32
32.41,-8.56,21
32.41,4.0,86
32.41,4.01,76
32.42,-8.58,34
32.44,6.63,84
32.44,7.11,21
32.45,6.63,29
32.45,7.03,39
32.5,6.69,16
32.51,6.7,58
32.51,6.71,993
32.51,6.72,57
32.52,6.69,100
32.52,6.7,28
32.52,6.71,367
32.52,9.69,122
32.53,6.69,275
32.53,6.7,37
32.54,6.53,57
32.54,6.54,116
32.55,3.16,104
32.55,3.17,673
32.55,6.53,98
32.55,6.54,154
32.56,3.16,109
32.56,3.17,628
32.56,7.05,32
32.57,-6.14,116
32.57,-6.13,28
32.57,3.7,17
32.58,6.48,20
32.58,6.7,18
32.58,6.71,18
32.59,6.48,19
32.6,6.64,33
32.6,6.65,45
32.61,-6.71,36
32.65,3.02,20
32.65,3.03,90
32.66,2.85,17
32.68,3.23,18
32.72,6.59,21
32.74,3.17,284
32.74,3.18,523
32.74,3.19,127
