wilaya_id,wilaya_code,date,nb_detections,frp_total,frp_max,fire_detected
1,01,2018-09-01,2,2.81,1.89,1
1,01,2018-09-02,2,7.470000000000001,4.19,1
1,01,2018-09-03,2,14.23,9.71,1
1,01,2018-09-04,2,2.18,1.25,1
1,01,2018-09-05,4,6.49,2.1,1
1,01,2018-09-08,2,3.25,2.0,1
1,01,2018-09-09,1,5.91,5.91,1
1,01,2018-09-18,1,12.07,12.07,1
1,01,2018-09-22,2,12.0,7.3,1
1,01,2018-09-26,6,12.11,3.77,1
1,01,2018-09-27,2,3.19,1.79,1
1,01,2018-09-29,3,11.23,4.24,1
1,01,2018-10-04,3,23.490000000000002,10.24,1
1,01,2018-10-07,1,9.98,9.98,1
1,01,2018-10-08,4,26.57,10.05,1
1,01,2018-10-09,4,14.17,6.11,1
1,01,2018-10-17,3,22.830000000000002,13.25,1
1,01,2018-10-19,1,17.14,17.14,1
1,01,2018-10-22,1,2.97,2.97,1
1,01,2018-10-26,1,0.23,0.23,1
1,01,2018-10-27,1,3.9,3.9,1
1,01,2018-11-04,2,2.26,1.29,1
1,01,2018-11-05,2,1.5899999999999999,0.98,1
1,01,2018-11-08,1,3.6,3.6,1
1,01,2018-11-09,1,1.72,1.72,1
1,01,2018-11-11,4,2.77,0.92,1
1,01,2018-11-12,2,1.9,1.18,1
1,01,2018-11-13,3,18.15,12.07,1
1,01,2018-11-14,2,1.85,0.96,1
1,01,2018-11-16,1,1.7,1.7,1
1,01,2018-12-07,1,5.09,5.09,1
1,01,2018-12-08,1,12.65,12.65,1
1,01,2018-12-10,2,7.220000000000001,4.07,1
1,01,2018-12-11,2,7.12,4.63,1
1,01,2018-12-13,1,2.14,2.14,1
1,01,2018-12-16,2,2.13,1.16,1
1,01,2018-12-18,1,2.26,2.26,1
1,01,2018-12-21,1,2.2,2.2,1
1,01,2019-01-15,1,31.06,31.06,1
1,01,2019-01-30,3,15.2,8.43,1
1,01,2019-02-04,2,9.469999999999999,6.38,1
1,01,2019-02-07,1,2.47,2.47,1
1,01,2019-02-08,2,9.93,5.23,1
1,01,2019-02-10,2,4.4399999999999995,3.0,1
1,01,2019-02-11,2,5.59,2.92,1
1,01,2019-02-12,3,7.529999999999999,3.55,1
1,01,2019-02-16,4,20.45,6.79,1
1,01,2019-02-21,1,6.26,6.26,1
1,01,2019-02-23,1,3.09,3.09,1
1,01,2019-02-25,1,0.57,0.57,1
1,01,2019-02-26,1,0.57,0.57,1
1,01,2019-02-27,2,1.44,0.73,1
1,01,2019-02-28,1,2.76,2.76,1
1,01,2019-03-01,2,2.87,1.56,1
1,01,2019-03-03,1,0.39,0.39,1
1,01,2019-03-04,3,2.14,0.92,1
1,01,2019-03-13,1,0.26,0.26,1
1,01,2019-03-14,1,1.82,1.82,1
1,01,2019-03-15,1,6.3,6.3,1
1,01,2019-03-21,2,7.21,3.91,1
1,01,2019-03-22,3,26.57,10.63,1
1,01,2019-03-23,3,23.51,9.09,1
1,01,2019-04-01,3,13.79,7.11,1
1,01,2019-04-02,1,3.99,3.99,1
1,01,2019-04-06,4,13.54,3.59,1
